Longitude,Latitude,PD_DESC
-73.8150238,40.7256156,"MARIJUANA, POSSESSION 4 & 5"
-73.98548838,40.75294454,"MARIJUANA, POSSESSION 4 & 5"
-73.95840238,40.6573515,"MARIJUANA, POSSESSION 4 & 5"
-73.84689421,40.87222555,"MARIJUANA, SALE 4 & 5"
-73.97972983,40.72289961,"MARIJUANA, POSSESSION 4 & 5"
-73.73633944,40.72124359,"MARIJUANA, POSSESSION 4 & 5"
-73.94975055,40.69811894,"MARIJUANA, POSSESSION 4 & 5"
-73.85447142,40.74239328,"MARIJUANA, SALE 4 & 5"
-73.93460435,40.69763374,"MARIJUANA, POSSESSION 4 & 5"
-73.77489426,40.70942685,"MARIJUANA, POSSESSION 4 & 5"
-73.93562161,40.84673404,"MARIJUANA, POSSESSION 4 & 5"
-74.00609671,40.62504175,"MARIJUANA, POSSESSION 4 & 5"
-73.90446547,40.66799655,"MARIJUANA, POSSESSION 4 & 5"
-73.88040582,40.82978807,"MARIJUANA, POSSESSION 4 & 5"
-73.91337278,40.83450277,"MARIJUANA, SALE 4 & 5"
-73.98567276,40.71793523,"MARIJUANA, POSSESSION 4 & 5"
-73.93902532,40.84395001,"MARIJUANA, SALE 4 & 5"
-73.92758916,40.70177139,"MARIJUANA, POSSESSION 4 & 5"
-73.96066365,40.6609562,"MARIJUANA, SALE 4 & 5"
-73.84272964,40.90244997,"MARIJUANA, SALE 4 & 5"
-73.89691013,40.75651965,"MARIJUANA, POSSESSION 4 & 5"
-73.80635687,40.74205893,"MARIJUANA, POSSESSION 4 & 5"
-73.94804678,40.75566751,"MARIJUANA, POSSESSION 4 & 5"
-73.97972983,40.72289961,"MARIJUANA, POSSESSION 4 & 5"
-73.89638751,40.82100396,"MARIJUANA, SALE 4 & 5"
-73.91214858,40.83658782,"MARIJUANA, SALE 4 & 5"
-73.87074717,40.75899099,"MARIJUANA, SALE 4 & 5"
-73.84272964,40.90244997,"MARIJUANA, SALE 4 & 5"
-73.82372905,40.81855258,"MARIJUANA, POSSESSION 4 & 5"
-73.95861338,40.68904826,"MARIJUANA, POSSESSION 4 & 5"
-73.83079629,40.88374452,"MARIJUANA, POSSESSION 4 & 5"
-73.79152389,40.71125873,"MARIJUANA, POSSESSION 4 & 5"
-73.78433729,40.67933472,"MARIJUANA, POSSESSION 4 & 5"
-73.98478504,40.7666517,"MARIJUANA, POSSESSION 4 & 5"
-73.87027602,40.68768156,"MARIJUANA, POSSESSION 4 & 5"
-73.9028015,40.85007606,"MARIJUANA, POSSESSION 4 & 5"
-73.93562161,40.84673404,"MARIJUANA, POSSESSION 4 & 5"
-73.84946141,40.87862132,"MARIJUANA, POSSESSION 4 & 5"
-73.9693386,40.80366137,"MARIJUANA, POSSESSION 4 & 5"
-73.77815221,40.67665778,"MARIJUANA, POSSESSION 4 & 5"
-73.88618429,40.65838142,"MARIJUANA, POSSESSION 4 & 5"
-73.87074717,40.75899099,"MARIJUANA, POSSESSION 4 & 5"
-73.9115323,40.66137356,"MARIJUANA, POSSESSION 4 & 5"
-73.89556651,40.85147777,"MARIJUANA, POSSESSION 4 & 5"
-74.08165623,40.61549122,"MARIJUANA, POSSESSION 4 & 5"
-73.78433729,40.67933472,"MARIJUANA, POSSESSION 4 & 5"
-73.99275391,40.75317304,"MARIJUANA, POSSESSION 4 & 5"
-73.93388988,40.66895868,"MARIJUANA, POSSESSION 4 & 5"
-73.80264371,40.67984791,"MARIJUANA, POSSESSION 4 & 5"
-73.94168973,40.79366812,"MARIJUANA, POSSESSION 4 & 5"
-73.9302142,40.83319398,"MARIJUANA, POSSESSION 4 & 5"
